,index,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1,1,3.0,14.0,7.0,,,,,,,,,,,,,,,,,,,,,
1,2,2,3.0,6.0,7.0,14.0,15.0,16.0,,,,,,,,,,,,,,,,,,
2,3,9,,,,,,,,,,,,,,,,,,,,,,,,
3,4,10,,,,,,,,,,,,,,,,,,,,,,,,
4,5,17,8.0,18.0,19.0,30.0,31.0,,,,,,,,,,,,,,,,,,,
5,6,21,,,,,,,,,,,,,,,,,,,,,,,,
6,7,22,4.0,36.0,11.0,53.0,23.0,,,,,,,,,,,,,,,,,,,
7,8,24,5.0,6.0,37.0,38.0,39.0,11.0,12.0,13.0,14.0,53.0,54.0,23.0,56.0,26.0,,,,,,,,,,
8,9,25,,,,,,,,,,,,,,,,,,,,,,,,
9,10,27,58.0,5.0,6.0,7.0,40.0,42.0,43.0,44.0,13.0,14.0,15.0,60.0,56.0,57.0,26.0,59.0,28.0,,,,,,,
10,11,29,8.0,16.0,46.0,15.0,,,,,,,,,,,,,,,,,,,,
11,12,32,33.0,18.0,19.0,20.0,30.0,31.0,,,,,,,,,,,,,,,,,,
12,13,34,51.0,35.0,,,,,,,,,,,,,,,,,,,,,,
13,14,41,56.0,26.0,12.0,13.0,,,,,,,,,,,,,,,,,,,,
14,15,47,64.0,65.0,46.0,48.0,62.0,,,,,,,,,,,,,,,,,,,
15,16,49,,,,,,,,,,,,,,,,,,,,,,,,
16,17,52,36.0,37.0,38.0,70.0,53.0,54.0,23.0,92.0,,,,,,,,,,,,,,,,
17,18,55,38.0,71.0,40.0,53.0,54.0,56.0,57.0,,,,,,,,,,,,,,,,,
18,19,66,64.0,65.0,48.0,83.0,84.0,85.0,86.0,,,,,,,,,,,,,,,,,
19,20,67,50.0,,,,,,,,,,,,,,,,,,,,,,,
20,21,68,,,,,,,,,,,,,,,,,,,,,,,,
21,22,75,73.0,,,,,,,,,,,,,,,,,,,,,,,
22,23,78,129.0,98.0,99.0,101.0,102.0,76.0,77.0,45.0,79.0,61.0,127.0,,,,,,,,,,,,,
23,24,80,64.0,131.0,44.0,45.0,127.0,79.0,81.0,82.0,60.0,61.0,62.0,63.0,,,,,,,,,,,,
24,25,89,,,,,,,,,,,,,,,,,,,,,,,,
25,26,90,91.0,147.0,117.0,118.0,,,,,,,,,,,,,,,,,,,,
26,27,93,120.0,73.0,122.0,,,,,,,,,,,,,,,,,,,,,
27,28,95,74.0,,,,,,,,,,,,,,,,,,,,,,,
28,29,96,72.0,73.0,122.0,94.0,,,,,,,,,,,,,,,,,,,,
29,30,97,98.0,76.0,56.0,57.0,58.0,59.0,124.0,152.0,,,,,,,,,,,,,,,,
30,31,100,99.0,76.0,102.0,,,,,,,,,,,,,,,,,,,,,
31,32,105,131.0,132.0,133.0,134.0,160.0,161.0,162.0,163.0,63.0,64.0,65.0,81.0,82.0,83.0,84.0,85.0,103.0,104.0,106.0,107.0,,,,
32,33,110,88.0,139.0,69.0,87.0,,,,,,,,,,,,,,,,,,,,
33,34,112,114.0,140.0,174.0,111.0,,,,,,,,,,,,,,,,,,,,
34,35,113,,,,,,,,,,,,,,,,,,,,,,,,
35,36,119,148.0,180.0,179.0,92.0,,,,,,,,,,,,,,,,,,,,
36,37,121,,,,,,,,,,,,,,,,,,,,,,,,
37,38,123,,,,,,,,,,,,,,,,,,,,,,,,
38,39,125,98.0,124.0,,,,,,,,,,,,,,,,,,,,,,
39,40,126,,,,,,,,,,,,,,,,,,,,,,,,
40,41,128,77.0,,,,,,,,,,,,,,,,,,,,,,,
