,X,Y
0,182,6
1,39,9
2,40,9
3,41,9
4,36,10
5,37,10
6,38,10
7,39,10
8,40,10
9,41,10
10,42,10
11,35,11
12,36,11
13,37,11
14,38,11
15,39,11
16,40,11
17,41,11
18,42,11
19,43,11
20,44,11
21,45,11
22,34,12
23,35,12
24,36,12
25,37,12
26,38,12
27,39,12
28,40,12
29,41,12
30,42,12
31,43,12
32,44,12
33,45,12
34,46,12
35,47,12
36,33,13
37,34,13
38,35,13
39,36,13
40,37,13
41,38,13
42,39,13
43,40,13
44,41,13
45,42,13
46,43,13
47,44,13
48,45,13
49,46,13
50,47,13
51,48,13
52,33,14
53,34,14
54,35,14
55,36,14
56,37,14
57,38,14
58,39,14
59,40,14
60,41,14
61,42,14
62,43,14
63,44,14
64,45,14
65,46,14
66,47,14
67,48,14
68,49,14
69,50,14
70,33,15
71,34,15
72,35,15
73,36,15
74,37,15
75,38,15
76,39,15
77,40,15
78,41,15
79,42,15
80,43,15
81,44,15
82,45,15
83,46,15
84,47,15
85,48,15
86,49,15
87,50,15
88,51,15
89,26,16
90,29,16
91,30,16
92,33,16
93,34,16
94,35,16
95,36,16
96,37,16
97,38,16
98,39,16
99,40,16
100,41,16
101,42,16
102,43,16
103,44,16
104,45,16
105,46,16
106,47,16
107,48,16
108,49,16
109,50,16
110,51,16
111,21,17
112,22,17
113,23,17
114,24,17
115,25,17
116,26,17
117,29,17
118,30,17
119,33,17
120,34,17
121,35,17
122,36,17
123,37,17
124,38,17
125,39,17
126,40,17
127,41,17
128,42,17
129,43,17
130,44,17
131,45,17
132,46,17
133,47,17
134,48,17
135,49,17
136,50,17
137,51,17
138,52,17
139,53,17
140,20,18
141,21,18
142,22,18
143,23,18
144,24,18
145,25,18
146,26,18
147,27,18
148,33,18
149,34,18
150,35,18
151,36,18
152,37,18
153,38,18
154,39,18
155,40,18
156,41,18
157,42,18
158,43,18
159,44,18
160,45,18
161,46,18
162,47,18
163,48,18
164,49,18
165,50,18
166,51,18
167,52,18
168,53,18
169,14,19
170,18,19
171,19,19
172,20,19
173,21,19
174,22,19
175,23,19
176,24,19
177,25,19
178,26,19
179,33,19
180,34,19
181,35,19
182,36,19
183,37,19
184,38,19
185,39,19
186,40,19
187,41,19
188,42,19
189,43,19
190,44,19
191,45,19
192,46,19
193,47,19
194,48,19
195,49,19
196,50,19
197,51,19
198,52,19
199,53,19
200,54,19
201,13,20
202,16,20
203,17,20
204,18,20
205,19,20
206,20,20
207,21,20
208,22,20
209,23,20
210,24,20
211,25,20
212,26,20
213,34,20
214,35,20
215,36,20
216,37,20
217,38,20
218,39,20
219,40,20
220,41,20
221,42,20
222,43,20
223,44,20
224,45,20
225,46,20
226,47,20
227,48,20
228,49,20
229,50,20
230,51,20
231,52,20
232,53,20
233,54,20
234,66,20
235,67,20
236,68,20
237,14,21
238,15,21
239,16,21
240,17,21
241,18,21
242,19,21
243,20,21
244,21,21
245,22,21
246,23,21
247,24,21
248,35,21
249,36,21
250,37,21
251,38,21
252,39,21
253,40,21
254,41,21
255,42,21
256,43,21
257,44,21
258,45,21
259,46,21
260,47,21
261,48,21
262,49,21
263,50,21
264,51,21
265,52,21
266,53,21
267,54,21
268,58,21
269,59,21
270,60,21
271,61,21
272,62,21
273,63,21
274,65,21
275,66,21
276,67,21
277,68,21
278,69,21
279,70,21
280,13,22
281,14,22
282,15,22
283,16,22
284,17,22
285,18,22
286,19,22
287,20,22
288,21,22
289,22,22
290,23,22
291,24,22
292,25,22
293,35,22
294,36,22
295,37,22
296,39,22
297,40,22
298,41,22
299,42,22
300,43,22
301,44,22
302,45,22
303,46,22
304,47,22
305,48,22
306,49,22
307,50,22
308,51,22
309,52,22
310,53,22
311,54,22
312,57,22
313,58,22
314,59,22
315,60,22
316,61,22
317,62,22
318,65,22
319,66,22
320,67,22
321,68,22
322,69,22
323,70,22
324,71,22
325,72,22
326,73,22
327,13,23
328,14,23
329,15,23
330,16,23
331,17,23
332,18,23
333,19,23
334,20,23
335,21,23
336,22,23
337,23,23
338,24,23
339,25,23
340,29,23
341,30,23
342,31,23
343,32,23
344,33,23
345,35,23
346,36,23
347,37,23
348,38,23
349,39,23
350,40,23
351,41,23
352,42,23
353,43,23
354,44,23
355,45,23
356,46,23
357,47,23
358,48,23
359,49,23
360,50,23
361,51,23
362,52,23
363,53,23
364,64,23
365,65,23
366,66,23
367,67,23
368,68,23
369,69,23
370,70,23
371,71,23
372,72,23
373,73,23
374,74,23
375,75,23
376,5,24
377,12,24
378,13,24
379,14,24
380,15,24
381,16,24
382,17,24
383,18,24
384,19,24
385,20,24
386,21,24
387,22,24
388,23,24
389,24,24
390,25,24
391,26,24
392,28,24
393,29,24
394,30,24
395,31,24
396,32,24
397,33,24
398,35,24
399,36,24
400,37,24
401,38,24
402,40,24
403,41,24
404,42,24
405,43,24
406,44,24
407,47,24
408,48,24
409,49,24
410,50,24
411,51,24
412,52,24
413,53,24
414,54,24
415,64,24
416,65,24
417,66,24
418,67,24
419,68,24
420,69,24
421,70,24
422,71,24
423,72,24
424,73,24
425,74,24
426,75,24
427,76,24
428,77,24
429,78,24
430,5,25
431,11,25
432,12,25
433,13,25
434,14,25
435,15,25
436,16,25
437,17,25
438,18,25
439,19,25
440,20,25
441,21,25
442,22,25
443,23,25
444,24,25
445,25,25
446,26,25
447,28,25
448,29,25
449,30,25
450,31,25
451,32,25
452,33,25
453,35,25
454,36,25
455,37,25
456,38,25
457,42,25
458,43,25
459,44,25
460,47,25
461,48,25
462,49,25
463,50,25
464,51,25
465,52,25
466,53,25
467,54,25
468,62,25
469,63,25
470,64,25
471,65,25
472,66,25
473,67,25
474,68,25
475,69,25
476,70,25
477,71,25
478,72,25
479,73,25
480,74,25
481,75,25
482,76,25
483,77,25
484,78,25
485,79,25
486,80,25
487,11,26
488,12,26
489,13,26
490,14,26
491,15,26
492,16,26
493,17,26
494,18,26
495,19,26
496,20,26
497,21,26
498,22,26
499,23,26
500,24,26
501,25,26
502,26,26
503,27,26
504,28,26
505,29,26
506,30,26
507,31,26
508,32,26
509,33,26
510,34,26
511,35,26
512,36,26
513,37,26
514,41,26
515,42,26
516,43,26
517,44,26
518,45,26
519,46,26
520,48,26
521,49,26
522,50,26
523,51,26
524,52,26
525,53,26
526,54,26
527,60,26
528,61,26
529,62,26
530,63,26
531,64,26
532,65,26
533,66,26
534,67,26
535,68,26
536,69,26
537,70,26
538,71,26
539,72,26
540,73,26
541,74,26
542,75,26
543,76,26
544,77,26
545,78,26
546,79,26
547,80,26
548,81,26
549,11,27
550,12,27
551,13,27
552,14,27
553,15,27
554,16,27
555,17,27
556,18,27
557,19,27
558,20,27
559,21,27
560,22,27
561,23,27
562,24,27
563,25,27
564,26,27
565,27,27
566,28,27
567,29,27
568,30,27
569,32,27
570,33,27
571,34,27
572,35,27
573,36,27
574,40,27
575,41,27
576,42,27
577,43,27
578,44,27
579,45,27
580,46,27
581,48,27
582,49,27
583,50,27
584,51,27
585,52,27
586,53,27
587,54,27
588,55,27
589,59,27
590,60,27
591,61,27
592,62,27
593,63,27
594,64,27
595,65,27
596,66,27
597,67,27
598,68,27
599,69,27
600,70,27
601,71,27
602,72,27
603,73,27
604,74,27
605,75,27
606,76,27
607,77,27
608,78,27
609,79,27
610,80,27
611,81,27
612,82,27
613,11,28
614,12,28
615,13,28
616,14,28
617,15,28
618,16,28
619,17,28
620,18,28
621,19,28
622,20,28
623,21,28
624,22,28
625,23,28
626,24,28
627,25,28
628,26,28
629,27,28
630,28,28
631,29,28
632,30,28
633,31,28
634,35,28
635,39,28
636,40,28
637,41,28
638,42,28
639,43,28
640,44,28
641,45,28
642,46,28
643,47,28
644,48,28
645,49,28
646,50,28
647,51,28
648,52,28
649,53,28
650,54,28
651,55,28
652,59,28
653,60,28
654,61,28
655,62,28
656,63,28
657,64,28
658,65,28
659,66,28
660,67,28
661,68,28
662,69,28
663,70,28
664,71,28
665,72,28
666,73,28
667,74,28
668,75,28
